stateTime,Regular,Filecoin Plus,Total
"2020-10-15","0.23","0.00","0.23"
"2020-10-16","0.26","0.00","0.26"
"2020-10-17","0.29","0.00","0.29"
"2020-10-18","0.33","0.00","0.33"
"2020-10-19","0.37","0.00","0.37"
"2020-10-20","0.41","0.00","0.41"
"2020-10-21","0.44","0.00","0.44"
"2020-10-22","0.47","0.00","0.47"
"2020-10-23","0.51","0.00","0.51"
"2020-10-24","0.54","0.00","0.54"
"2020-10-25","0.56","0.00","0.56"
"2020-10-26","0.58","0.00","0.58"
"2020-10-27","0.59","0.00","0.59"
"2020-10-28","0.60","0.00","0.60"
"2020-10-29","0.60","0.00","0.60"
"2020-10-30","0.61","0.00","0.61"
"2020-10-31","0.61","0.00","0.61"
"2020-11-01","0.62","0.00","0.62"
"2020-11-02","0.63","0.00","0.63"
"2020-11-03","0.64","0.00","0.64"
"2020-11-04","0.65","0.00","0.65"
"2020-11-05","0.67","0.00","0.67"
"2020-11-06","0.69","0.00","0.69"
"2020-11-07","0.69","0.00","0.69"
"2020-11-08","0.70","0.00","0.70"
"2020-11-09","0.70","0.00","0.70"
"2020-11-10","0.71","0.00","0.71"
"2020-11-11","0.72","0.00","0.72"
"2020-11-12","0.72","0.00","0.72"
"2020-11-13","0.73","0.00","0.73"
"2020-11-14","0.74","0.00","0.74"
"2020-11-15","0.74","0.00","0.74"
"2020-11-16","0.74","0.00","0.74"
"2020-11-17","0.75","0.00","0.75"
"2020-11-18","0.75","0.00","0.75"
"2020-11-19","0.76","0.00","0.76"
"2020-11-20","0.78","0.00","0.78"
"2020-11-21","0.79","0.00","0.79"
"2020-11-22","0.80","0.00","0.80"
"2020-11-23","0.81","0.00","0.81"
"2020-11-24","0.81","0.00","0.81"
"2020-11-25","0.83","0.00","0.83"
"2020-11-26","0.85","0.00","0.85"
"2020-11-27","0.87","0.00","0.87"
"2020-11-28","0.88","0.00","0.88"
"2020-11-29","0.89","0.00","0.89"
"2020-11-30","0.91","0.00","0.91"
"2020-12-01","0.91","0.00","0.91"
"2020-12-02","0.92","0.00","0.92"
"2020-12-03","0.93","0.00","0.93"
"2020-12-04","0.94","0.00","0.94"
"2020-12-05","0.95","0.00","0.95"
"2020-12-06","0.97","0.00","0.97"
"2020-12-07","1.00","0.00","1.00"
"2020-12-08","1.04","0.00","1.04"
"2020-12-09","1.09","0.00","1.09"
"2020-12-10","1.15","0.00","1.15"
"2020-12-11","1.18","0.00","1.18"
"2020-12-12","1.22","0.00","1.22"
"2020-12-13","1.26","0.00","1.26"
"2020-12-14","1.28","0.00","1.28"
"2020-12-15","1.30","0.00","1.30"
"2020-12-16","1.33","0.00","1.33"
"2020-12-17","1.34","0.00","1.34"
"2020-12-18","1.35","0.01","1.36"
"2020-12-19","1.35","0.01","1.36"
"2020-12-20","1.37","0.01","1.38"
"2020-12-21","1.41","0.01","1.42"
"2020-12-22","1.42","0.01","1.43"
"2020-12-23","1.47","0.01","1.48"
"2020-12-24","1.49","0.01","1.50"
"2020-12-25","1.51","0.01","1.52"
"2020-12-26","1.52","0.01","1.53"
"2020-12-27","1.52","0.01","1.53"
"2020-12-28","1.53","0.01","1.54"
"2020-12-29","1.54","0.01","1.55"
"2020-12-30","1.54","0.01","1.55"
"2020-12-31","1.56","0.01","1.57"
"2021-01-01","1.57","0.01","1.58"
"2021-01-02","1.58","0.01","1.59"
"2021-01-03","1.60","0.01","1.61"
"2021-01-04","1.62","0.01","1.63"
"2021-01-05","1.64","0.01","1.65"
"2021-01-06","1.66","0.01","1.67"
"2021-01-07","1.69","0.02","1.71"
"2021-01-08","1.76","0.02","1.78"
"2021-01-09","1.82","0.02","1.84"
"2021-01-10","1.87","0.02","1.89"
"2021-01-11","1.96","0.02","1.98"
"2021-01-12","2.06","0.02","2.08"
"2021-01-13","2.13","0.02","2.15"
"2021-01-14","2.19","0.02","2.21"
"2021-01-15","2.25","0.02","2.27"
"2021-01-16","2.32","0.02","2.34"
"2021-01-17","2.39","0.03","2.42"
"2021-01-18","2.43","0.03","2.46"
"2021-01-19","2.50","0.03","2.53"
"2021-01-20","2.59","0.03","2.62"
"2021-01-21","2.69","0.03","2.72"
"2021-01-22","2.79","0.03","2.82"
"2021-01-23","2.91","0.03","2.94"
"2021-01-24","3.02","0.03","3.05"
"2021-01-25","3.13","0.03","3.16"
"2021-01-26","3.25","0.03","3.28"
"2021-01-27","3.45","0.03","3.48"
"2021-01-28","3.64","0.04","3.68"
"2021-01-29","3.82","0.04","3.86"
"2021-01-30","3.97","0.04","4.01"
"2021-01-31","4.13","0.04","4.17"
"2021-02-01","4.25","0.04","4.29"
"2021-02-02","4.34","0.04","4.38"
"2021-02-03","4.37","0.04","4.41"
"2021-02-04","4.38","0.05","4.43"
"2021-02-05","4.38","0.05","4.43"
"2021-02-06","4.39","0.05","4.44"
"2021-02-07","4.40","0.05","4.45"
"2021-02-08","4.40","0.05","4.45"
"2021-02-09","4.42","0.05","4.47"
"2021-02-10","4.44","0.06","4.50"
"2021-02-11","4.44","0.06","4.50"
"2021-02-12","4.44","0.06","4.50"
"2021-02-13","4.45","0.06","4.51"
"2021-02-14","4.47","0.06","4.53"
"2021-02-15","4.47","0.06","4.53"
"2021-02-16","4.49","0.06","4.55"
"2021-02-17","4.49","0.06","4.55"
"2021-02-18","4.49","0.07","4.56"
"2021-02-19","4.49","0.07","4.56"
"2021-02-20","4.49","0.07","4.56"
"2021-02-21","4.49","0.07","4.56"
"2021-02-22","4.49","0.08","4.57"
"2021-02-23","4.51","0.08","4.59"
"2021-02-24","4.54","0.08","4.62"
"2021-02-25","4.54","0.08","4.62"
"2021-02-26","4.54","0.08","4.62"
"2021-02-27","4.54","0.09","4.63"
"2021-02-28","4.54","0.09","4.63"
"2021-03-01","4.54","0.09","4.63"
"2021-03-02","4.54","0.09","4.63"
"2021-03-03","4.55","0.09","4.64"
"2021-03-04","4.55","0.09","4.64"
"2021-03-05","4.55","0.09","4.64"
"2021-03-06","4.56","0.09","4.65"
"2021-03-07","4.58","0.09","4.67"
"2021-03-08","4.61","0.09","4.70"
"2021-03-09","4.62","0.09","4.71"
"2021-03-10","4.63","0.10","4.73"
"2021-03-11","4.65","0.10","4.75"
"2021-03-12","4.67","0.10","4.77"
"2021-03-13","4.67","0.10","4.77"
"2021-03-14","4.68","0.10","4.78"
"2021-03-15","4.69","0.10","4.79"
"2021-03-16","4.70","0.10","4.80"
"2021-03-17","4.72","0.10","4.82"
"2021-03-18","4.75","0.10","4.85"
"2021-03-19","4.82","0.10","4.92"
"2021-03-20","4.87","0.10","4.97"
"2021-03-21","4.91","0.10","5.01"
"2021-03-22","4.97","0.10","5.07"
"2021-03-23","5.00","0.10","5.10"
"2021-03-24","5.07","0.11","5.18"
"2021-03-25","5.14","0.11","5.25"
"2021-03-26","5.23","0.11","5.34"
"2021-03-27","5.29","0.11","5.40"
"2021-03-28","5.33","0.11","5.44"
"2021-03-29","5.44","0.11","5.55"
"2021-03-30","5.47","0.11","5.58"
"2021-03-31","5.52","0.11","5.63"
"2021-04-01","5.70","0.12","5.82"
"2021-04-02","5.75","0.12","5.87"
"2021-04-03","5.84","0.12","5.96"
"2021-04-04","5.90","0.12","6.02"
"2021-04-05","5.96","0.12","6.08"
"2021-04-06","6.13","0.12","6.25"
"2021-04-07","6.19","0.12","6.31"
"2021-04-08","6.24","0.12","6.36"
"2021-04-09","6.34","0.12","6.46"
"2021-04-10","6.45","0.12","6.57"
"2021-04-11","6.51","0.12","6.63"
"2021-04-12","6.57","0.12","6.69"
"2021-04-13","6.67","0.12","6.79"
"2021-04-14","6.82","0.12","6.94"
"2021-04-15","7.02","0.13","7.15"
"2021-04-16","7.18","0.13","7.31"
"2021-04-17","7.28","0.13","7.41"
"2021-04-18","7.48","0.13","7.61"
"2021-04-19","7.89","0.13","8.02"
"2021-04-20","8.09","0.13","8.22"
"2021-04-21","8.25","0.14","8.39"
"2021-04-22","8.49","0.14","8.63"
"2021-04-23","8.56","0.14","8.70"
"2021-04-24","8.67","0.14","8.81"
"2021-04-25","8.85","0.14","8.99"
"2021-04-26","9.19","0.14","9.33"
