stateTime,New Active Deal,Expired Deals,Terminated Deals
"2021-12-16","116.60",-0.47,0
"2021-12-17","129.95",-0.46,-0.11
"2021-12-18","81.21",-1.47,0
"2021-12-19","76.02",-1.07,0
"2021-12-20","91.24",-3.32,-0.12
"2021-12-21","85.77",-0.41,-0.03
"2021-12-22","120.63",-5.45,-0.09
"2021-12-23","150.58",-1.98,0
"2021-12-24","125.31",-3.68,-0.65
"2021-12-25","131.71",-5.57,-0.03
"2021-12-26","148.09",-1.27,-0.47
"2021-12-27","221.51",-0.8,0
"2021-12-28","242.54",-1.55,-0.22
"2021-12-29","215.21",-1.74,-1.84
"2021-12-30","149.76",-5.1,-1.27
"2021-12-31","224.98",-3.25,-0.03
"2022-01-01","169.97",-4.08,0
"2022-01-02","181.17",-4.68,-0.03
"2022-01-03","190.33",-3.18,-0.09
"2022-01-04","265.48",-2.75,-0.03
"2022-01-05","207.96",-2.72,-0.22
"2022-01-06","219.90",-5.79,-0.05
"2022-01-07","254.24",-5.02,-0.48
"2022-01-08","183.94",-7.14,-0.03
"2022-01-09","169.07",-13.42,0
"2022-01-10","173.22",-24.8,0
"2022-01-11","195.48",-13.37,-0.12
"2022-01-12","218.57",-12.53,-0.09
"2022-01-13","253.85",-18.7,-0.41
"2022-01-14","262.61",-20.66,-0.09
"2022-01-15","183.07",-8.68,-0.01
"2022-01-16","182.45",-6.94,0
"2022-01-17","212.39",-11.35,-0.29
"2022-01-18","230.83",-10.91,-0.14
"2022-01-19","192.92",-9.72,-0.03
"2022-01-20","240.19",-8.94,-0.38
"2022-01-21","271.22",-10.07,0
"2022-01-22","249.09",-18.7,-0.41
"2022-01-23","225.01",-23.28,-1.61
"2022-01-24","279.46",-21.84,-0.26
"2022-01-25","362.84",-24.17,0
"2022-01-26","338.86",-15.25,-0.09
"2022-01-27","400.61",-22.73,0
"2022-01-28","329.26",-70.44,-0.06
"2022-01-29","363.60",-31.75,-9.73
"2022-01-30","340.40",-45.75,0
