stateTime,Extend,Expired,Potential Expire,Terminate
"2022-05-25","14.68","8.35","0.00","0.05"
"2022-05-26","14.14","7.95","0.00","0.03"
"2022-05-27","14.70","8.45","0.00","0.04"
"2022-05-28","14.78","6.46","0.00","0.03"
"2022-05-29","17.92","9.57","0.00","0.04"
"2022-05-30","21.46","6.95","0.00","0.08"
"2022-05-31","43.67","21.38","0.00","0.09"
"2022-06-01","14.72","6.15","0.00","0.08"
"2022-06-02","16.07","7.64","0.00","0.07"
"2022-06-03","24.05","28.81","0.00","0.06"
"2022-06-04","15.48","7.82","0.00","0.05"
"2022-06-05","16.14","10.08","0.00","0.05"
"2022-06-06","17.44","8.11","0.00","0.05"
"2022-06-07","16.79","8.25","0.00","0.08"
"2022-06-08","17.39","8.14","0.00","0.08"
"2022-06-09","17.28","8.28","0.00","0.08"
"2022-06-10","15.98","8.79","0.00","0.07"
"2022-06-11","15.91","9.00","0.00","0.06"
"2022-06-12","13.27","10.01","0.00","0.03"
"2022-06-13","15.99","10.21","0.00","0.07"
"2022-06-14","16.79","17.52","0.00","0.06"
"2022-06-15","25.40","8.36","0.00","0.07"
"2022-06-16","18.08","8.91","0.00","0.05"
"2022-06-17","16.85","8.44","0.00","0.08"
"2022-06-18","15.92","18.06","0.00","0.12"
"2022-06-19","20.82","8.33","0.00","0.05"
"2022-06-20","16.51","7.88","0.00","0.04"
"2022-06-21","18.14","7.78","0.00","0.04"
"2022-06-22","20.81","7.61","0.00","0.05"
"2022-06-23","34.11","6.69","0.00","0.12"
"2022-06-24","15.61","6.52","0.00","0.07"
"2022-06-25","14.62","8.47","0.00","0.05"
"2022-06-26","15.19","7.06","0.00","0.07"
"2022-06-27","15.75","7.97","0.00","0.07"
"2022-06-28","17.91","8.07","0.00","0.10"
"2022-06-29","17.02","10.81","0.00","0.10"
"2022-06-30","24.14","8.03","0.00","0.09"
"2022-07-01","61.04","9.98","0.00","0.09"
"2022-07-02","16.38","7.45","0.00","0.08"
"2022-07-03","16.22","8.77","0.00","0.07"
"2022-07-04","18.51","9.44","0.00","0.06"
"2022-07-05","19.69","10.96","0.00","0.06"
"2022-07-06","67.01","14.22","0.00","0.07"
"2022-07-07","33.97","14.06","0.00","0.10"
"2022-07-08","19.51","7.17","0.00","0.07"
"2022-07-09","18.41","6.81","-0.00","0.05"
"2022-07-10","18.06","7.63","-0.13","0.18"
"2022-07-11","18.49","6.72","-0.11","0.15"
"2022-07-12","19.24","6.81","-0.08","0.13"
"2022-07-13","16.75","7.49","-0.18","0.27"
"2022-07-14","38.03","64.05","-0.07","0.19"
"2022-07-15","13.54","10.94","0.00","0.14"
"2022-07-16","12.51","10.01","-0.07","0.18"
"2022-07-17","12.99","10.58","-0.00","0.08"
"2022-07-18","19.30","10.22","-0.07","0.14"
"2022-07-19","14.62","9.26","-0.30","0.37"
"2022-07-20","16.02","8.92","-0.29","0.37"
"2022-07-21","15.06","10.29","-0.29","0.36"
"2022-07-22","13.57","10.79","-0.29","0.37"
"2022-07-23","13.93","11.84","-0.23","0.30"
"2022-07-24","16.35","9.91","-0.16","0.22"
"2022-07-25","16.18","9.02","-0.26","0.33"
"2022-07-26","21.65","9.52","-0.36","0.42"
"2022-07-27","19.30","9.64","-0.28","0.39"
"2022-07-28","41.20","9.31","-0.34","0.44"
"2022-07-29","19.42","9.70","-0.35","0.52"
"2022-07-30","16.93","10.11","-0.32","0.42"
"2022-07-31","46.06","22.18","-0.36","0.41"
"2022-08-01","16.40","10.40","-0.19","0.24"
"2022-08-02","16.17","11.07","-0.00","0.07"
"2022-08-03","17.42","11.30","-0.14","0.22"
"2022-08-04","19.95","12.55","-0.21","0.28"
"2022-08-05","15.69","13.66","-0.16","0.23"
"2022-08-06","20.32","13.68","-0.03","0.10"
"2022-08-07","46.04","13.01","0.00","0.08"
"2022-08-08","15.45","12.92","-0.00","0.08"
"2022-08-09","21.81","11.90","-0.07","0.15"
"2022-08-10","16.76","12.69","0.00","0.07"
"2022-08-11","18.22","11.59","0.00","0.09"
"2022-08-12","16.91","11.31","0.00","0.08"
"2022-08-13","32.54","12.07","0.01","0.08"
"2022-08-14","18.19","11.70","0.02","0.09"
"2022-08-15","16.42","12.38","0.02","0.10"
"2022-08-16","114.64","25.50","0.02","0.16"
"2022-08-17","21.58","10.15","0.01","0.06"
"2022-08-18","22.76","10.90","0.00","0.06"
"2022-08-19","20.61","10.33","0.00","0.10"
"2022-08-20","20.73","9.52","0.00","0.10"
"2022-08-21","20.77","9.44","0.00","0.10"
"2022-08-22","20.65","9.00","0.00","0.12"
"2022-08-23","27.20","9.96","0.00","0.09"
"2022-08-24","21.63","8.39","0.00","0.08"
"2022-08-25","26.01","11.12","-0.00","0.09"
"2022-08-26","24.51","12.18","-0.00","0.09"
"2022-08-27","24.81","11.96","-0.28","0.39"
"2022-08-28","46.97","11.25","-0.18","0.40"
"2022-08-29","27.92","11.20","0.00","0.16"
"2022-08-30","25.30","10.92","-0.13","0.32"
"2022-08-31","61.38","15.33","-3.25","3.48"
"2022-09-01","24.08","11.38","-0.66","0.88"
"2022-09-02","22.28","11.23","0.00","0.22"
"2022-09-03","22.87","11.07","0.00","0.19"
"2022-09-04","39.59","10.74","-0.07","0.27"
"2022-09-05","25.87","14.43","-0.81","0.97"
"2022-09-06","30.10","11.22","-0.19","0.34"
"2022-09-07","26.04","12.26","0.00","0.18"
"2022-09-08","25.46","11.71","0.00","0.16"
"2022-09-09","25.73","23.52","0.00","0.11"
"2022-09-10","26.73","18.48","0.00","0.13"
"2022-09-11","32.18","10.83","0.00","0.17"
"2022-09-12","26.94","13.52","0.00","0.15"
"2022-09-13","25.39","12.38","0.00","0.16"
"2022-09-14","22.66","11.00","0.00","0.12"
"2022-09-15","27.92","12.00","-0.57","0.69"
"2022-09-16","27.22","11.67","0.00","0.13"
"2022-09-17","30.68","11.85","-2.53","2.65"
"2022-09-18","24.44","14.15","0.00","0.11"
"2022-09-19","28.51","12.71","-0.50","0.61"
"2022-09-20","25.98","15.83","0.00","0.15"
"2022-09-21","23.97","15.64","0.03","0.22"
"2022-09-22","27.11","18.07","0.00","0.16"
"2022-09-23","23.32","17.58","0.00","0.14"
"2022-09-24","30.03","15.75","-3.19","3.29"
"2022-09-25","25.02","15.56","0.00","0.11"
"2022-09-26","81.64","21.30","-3.15","3.27"
"2022-09-27","47.02","45.51","0.00","0.16"
"2022-09-28","37.03","15.75","0.00","0.18"
"2022-09-29","25.12","17.51","0.11","0.30"
"2022-09-30","116.84","24.58","0.08","0.37"
"2022-10-01","25.62","17.24","0.00","0.34"
"2022-10-02","24.29","16.47","0.07","0.30"
"2022-10-03","23.93","14.68","0.14","0.26"
