,rb_onboard_power,renewal_rate,fil_plus_rate
0,9.7877865,0.52429444,0.46384966
1,9.696424,0.54907113,0.22822681
2,9.842149,0.5515888,0.3132042
3,12.647624,0.5573344,0.41327327
4,10.111778,0.67700166,0.10276071
5,12.425366,0.5549964,0.27282876
6,9.951474,0.5758461,0.19463316
7,9.739231,0.58190614,0.18023947
8,9.933842,0.5559458,0.25239527
9,10.265355,0.5526471,0.18917981
10,10.727933,0.50082874,0.35809284
11,10.052087,0.49648806,0.2598548
12,7.4894075,0.8484999,0.16293167
13,10.596754,0.44569188,0.46613595
14,9.432823,0.6216049,0.073916696
15,9.474428,0.58248824,0.2042575
16,9.301596,0.5910895,0.14382191
17,9.973367,0.524522,0.24875194
18,10.068129,0.46125317,0.2936668
19,10.434218,0.50090367,0.36339346
20,9.672867,0.5925277,0.1937223
21,10.248191,0.4765212,0.24821322
22,9.94022,0.550034,0.2532414
23,10.418289,0.5052683,0.4190964
24,9.531621,0.58594346,0.17120366
25,10.179911,0.53720075,0.24696827
26,10.290127,0.5350602,0.2310356
27,11.949219,0.5247858,0.2677542
28,11.772437,0.546775,0.21268277
29,10.135427,0.5526836,0.22721519
30,9.861053,0.56977814,0.2007582
31,10.854631,0.5668961,0.25751477
32,11.24807,0.56729406,0.31531477
33,9.819788,0.5604112,0.23143469
34,9.702501,0.54906696,0.25422043
35,9.567519,0.5624274,0.22457719
36,9.955833,0.55714107,0.21314242
37,9.8167,0.5516877,0.21434556
38,9.193205,0.5643376,0.19652747
39,10.259596,0.53618497,0.23857644
40,9.208418,0.38183567,0.19689322
41,10.02503,0.51464534,0.23678413
42,10.248846,0.5417196,0.31979153
43,10.262159,0.5353387,0.37782988
44,9.286147,0.6207851,0.19983323
45,9.355516,0.610952,0.17730348
46,10.102817,0.43373418,0.32079747
47,10.141717,0.3209484,0.5098424
48,10.028259,0.5739341,0.24573459
49,9.359057,0.9168132,0.20004818
50,8.509721,0.5068965,0.11411669
51,10.403421,0.4535383,0.29309133
52,10.290912,0.45338672,0.26671675
53,9.766562,0.535206,0.22270216
54,9.638164,0.6089202,0.19886811
55,10.694575,0.45756462,0.37975132
56,9.988213,0.58244,0.19595653
57,9.610894,0.5404243,0.22804758
58,9.511291,0.58634377,0.19630285
59,11.432703,0.52900696,0.26915225
60,10.693551,0.5048483,0.25970486
61,10.230743,0.6281407,0.19679704
62,14.4997225,0.39724874,0.19960463
63,11.780998,0.5350983,0.2228568
64,10.684519,0.554393,0.23289183
65,10.5719,0.56680626,0.19633023
