days,date,circ_supply,network_gas_burn,day_locked_pledge,day_renewed_pledge,network_locked_pledge,network_locked,network_locked_reward,disbursed_reserve,total_vest,network_RBP,network_QAP,day_onboarded_power_QAP,day_renewed_power_QAP,cum_simple_reward,network_baseline,capped_power,cum_capped_power,network_time,cum_baseline_reward,cum_network_reward,day_network_reward,day_pledge_per_QAP,day_rewards_per_sector,1y_return_per_sector,1y_sector_roi
152,2021-03-16,101114349.53035876,19165705.563802157,0.0,0.0,24565174.11771606,49130348.23543212,24565174.11771606,17066618.96177341,110047243.42363423,3.817103084253872e+18,3.8181924866148925e+18,3.465312649726125e+16,0.0,15500083.999383714,4.256433910003973e+18,3.817103084253872e+18,3.061965609388768e+20,96.56924145261627,23178789.718496058,38678873.71787977,361567.6500782594,0.0,0.0032537306336893968,0.47051401476592186,inf
153,2021-03-17,98021560.07832213,19193403.711378764,322429.04012923484,0.0,24887601.957630474,49587478.623362355,24699876.66573189,17066618.96177341,110695382.08333182,3.8519661927889633e+18,3.8530471347667927e+18,3.5865451718478868e+16,0.0,15599609.221040903,4.264524699950769e+18,3.8519661927889633e+18,3.1004852713166576e+20,97.67803280124757,23440832.146917127,39040441.36795803,361567.6500782594,0.308892734658571,0.0032242974000818957,0.46785729679482924,1.514627067263226
154,2021-03-18,98524843.56774373,19256238.761583794,310023.11038747715,0.0,25197624.70507292,50032623.10479193,24834998.399719022,17066618.96177341,111343520.7430294,3.884874781966729e+18,3.885968117354201e+18,3.542546151600987e+16,0.0,15699102.947396344,4.2726308691759334e+18,3.884874781966729e+18,3.139334019136325e+20,98.7939371972639,23704462.78192032,39403565.72931667,363124.3613586351,0.30069651897500854,0.003210746376330226,0.46522895330640496,1.5471710643416894
155,2021-03-19,99040016.09609267,19307878.531553257,310441.43161840626,0.0,25508065.777125586,50478519.45553793,24970453.678412355,17066618.96177341,111991659.40272698,3.916340914968068e+18,3.9174179205293015e+18,3.5414222573581028e+16,0.0,15798565.188416976,4.2807524469129805e+18,3.916340914968068e+18,3.1784974282860056e+20,99.91649155283854,23969570.530266497,39768135.718683474,364569.98936680704,0.30119781245609323,0.0031976494991311807,0.4626136633666588,1.5359130917794956
156,2021-03-20,99556691.09802812,19348778.744636513,320916.73309073265,0.0,25828980.921100393,50935590.72676904,25106609.805668663,17066618.96177341,112639798.06242457,3.9552959247454044e+18,3.9564828055147643e+18,3.654936654490072e+16,0.0,15897995.954066439,4.2888894624509875e+18,3.9552959247454044e+18,3.2180503875334596e+20,101.0477880693037,24236647.591169238,40134643.54523568,366507.8265522048,0.3016910012206291,0.0031829060428633996,0.4600097499472307,1.5247711999564144
157,2021-03-21,100028369.77983622,19438557.29932398,318298.1611885709,0.0,26147270.31615924,51390779.3750502,25243509.058890976,17066618.96177341,113287936.72212215,3.9954136337093755e+18,3.9965044371604767e+18,3.619185862779415e+16,0.0,15997395.254305258,4.297041945134709e+18,3.9954136337093755e+18,3.2580045238705534e+20,102.18809686008939,24505755.51600957,40503150.77031483,368507.225079149,0.3021851310243517,0.003168221639566973,0.45741958963807217,1.5137064755221556
158,2021-03-22,100564932.46480907,19463130.293698024,319808.6214479684,0.0,26467074.04629734,51848018.486575216,25380944.440277893,17066618.96177341,113936075.38181973,4.031757578248651e+18,4.032951369082831e+18,3.631575081941227e+16,0.0,16096763.099090919,4.30520992436468e+18,4.031757578248651e+18,3.29832209965304e+20,103.33628069843087,24776623.802398246,40873386.90148917,370236.13117434084,0.30258332301666524,0.0031543193649825546,0.45484353503289754,1.503200938168844
159,2021-03-23,100900561.20404509,19713094.26819615,296349.673904354,0.0,26763422.879133236,52281754.99246673,25518332.113333516,17066618.96177341,114584214.04151732,4.056759166994219e+18,4.057955245049643e+18,3.3585195450659156e+16,0.0,16196099.498377645,4.3133934295973187e+18,4.056759166994219e+18,3.338889691322982e+20,104.48906325132089,25048477.9630396,41244577.46141724,371190.5599280745,0.3031841001418342,0.00314296480705618,0.4522807209749608,1.4917692608661763
160,2021-03-24,101327715.5296077,19895147.408293378,291622.8638332264,0.0,27037347.957209215,52693587.67569441,25656239.718485218,17066618.96177341,115232352.7012149,4.0932359806417633e+18,4.094435844941054e+18,3.3041695280659904e+16,0.0,16295404.462116472,4.321592490345034e+18,4.0932359806417633e+18,3.3798220511294e+20,105.64965902052788,25322074.488490693,41617478.950607166,372901.4891899228,0.3032557869178566,0.0031293194205092713,0.44972800835990395,1.4829989327844963
161,2021-03-25,101855210.61661734,19947741.700342555,314122.73998926155,0.0,27341614.63338966,53136367.87808914,25794753.2446995,17066618.96177341,115880491.36091247,4.131724453891539e+18,4.133013910416687e+18,3.5558127750712736e+16,0.0,16394678.000255436,4.3298071361763364e+18,4.131724453891539e+18,3.421139295668315e+20,106.8185793911629,25597531.872107696,41992209.872363135,374730.9217559695,0.3035360927081988,0.003115318919562136,0.4471881760227109,1.47326195060635
162,2021-03-26,102325811.75366655,20050083.078538783,322143.4873823928,0.0,27653968.738882676,53586979.12793363,25933010.38905097,17066618.96177341,116528630.02061006,4.1532160579238625e+18,4.1545032518598656e+18,3.639572056724813e+16,0.0,16493920.122739302,4.338037396715941e+18,4.1532160579238625e+18,3.462671456247554e+20,107.99097076434361,25873704.855016164,42367624.977755465,375415.1053923294,0.30412273121402944,0.003104863329906158,0.44466169976519043,1.4621126740186194
163,2021-03-27,102797634.17226931,20149608.572709914,326486.08350346395,0.0,27969278.596402165,54041557.197483905,26072278.60108176,17066618.96177341,117176768.68030764,4.2003083127402004e+18,4.2016988732301967e+18,3.684425898370693e+16,0.0,16593130.839509735,4.3462833016448727e+18,4.2003083127402004e+18,3.504674539374956e+20,109.17400673731035,26152281.46087234,42745412.30038208,377787.3226266131,0.30447013237347986,0.0030893869255838187,0.44214497187476465,1.4521784729032312
164,2021-03-28,103245242.93751001,20264163.20080251,327419.94537898863,0.0,28295038.2799059,54507286.1634931,26212247.883587208,17066618.96177341,117824907.34000522,4.241574976995459e+18,4.2429723578048184e+18,3.690432728628088e+16,0.0,16692310.160505235,4.354544880700576e+18,4.241574976995459e+18,3.54709028914491e+20,110.36597460369292,26432855.83952175,43125166.000026986,379753.6996449083,0.30484402472414374,0.0030752587251899645,0.43964263861098063,1.4421888013347726
165,2021-03-29,103672796.23328522,20399649.974193122,326509.66477663175,0.0,28621078.5273665,54973656.98432719,26352578.4569607,17066618.96177341,118473045.99970281,4.2763172766904484e+18,4.277729341491675e+18,3.67607161413324e+16,0.0,16791458.0956612,4.362822163677022e+18,4.2763172766904484e+18,3.589853461911815e+20,111.56498059285208,26714980.134668127,43506438.23032933,381272.2303023413,0.3051841159246204,0.0030624691359280995,0.4371536236741344,1.4324258729838681
166,2021-03-30,104167475.62571819,20459111.564019248,337018.7699048489,0.0,28957260.012685873,55450777.03869002,26493517.026004165,17066618.96177341,119121184.65940039,4.3163277832707113e+18,4.317818267363803e+18,3.791021068442421e+16,0.0,16890574.654909797,4.3711151804248146e+18,4.3163277832707113e+18,3.633016739744522e+20,112.77244265471276,26998985.952343855,43889560.607253656,383122.3769243285,0.30545535226459475,0.003048758381876812,0.43467650805051594,1.4230443330846791
167,2021-03-31,104670163.34591703,20508104.95831416,340143.8317653449,0.0,29297089.418306366,55931977.20276048,26634887.78445413,17066618.96177341,119769323.31909797,4.353094730549035e+18,4.3546434612789576e+18,3.820663532018046e+16,0.0,16989659.84818011,4.379423960851299e+18,4.353094730549035e+18,3.676547687050012e+20,113.98739225921071,27284643.3779402,44274303.22612031,384742.61886665225,0.30589589920714993,0.003035760755346593,0.4322121875651563,1.412938809200793
168,2021-04-01,105160955.74117395,20570045.748602994,340994.9849054639,0.0,29636888.711349666,56413071.557267986,26776182.84591834,17066618.96177341,120417461.97879556,4.379788433330012e+18,4.381359202699215e+18,3.824048853007513e+16,0.0,17088713.685398128,4.38774853492067e+18,4.379788433330012e+18,3.7203455713833124e+20,115.20696961416189,27571278.421077818,44659992.10647595,385688.88035564125,0.30638987409737545,0.003024670748817502,0.4297618844508886,1.402663471555537
169,2021-04-02,105610698.46462056,20678730.14892894,336622.40701350087,0.0,29971843.68122529,56888730.54353058,26916886.862305317,17066618.96177341,121065600.63849314,4.4316879935011553e+18,4.433269380691591e+18,3.800465660895935e+16,0.0,17187736.176486596,4.3960889326540795e+18,4.3960889326540795e+18,3.764306460709853e+20,116.42825216397945,27858203.380326938,45045939.55681354,385947.4503375888,0.30433791187218956,0.00299125820667534,0.4273212662319636,1.4041013280377057
170,2021-04-03,106139800.37286864,20710867.547603954,335568.98181173875,0.0,30304702.516619068,57361314.78539774,27056612.26877869,17066618.96177341,121713739.29819071,4.459153175487709e+18,4.4607590700977684e+18,3.799517477487821e+16,0.0,17286727.33136519,4.4044451841297434e+18,4.4044451841297434e+18,3.8083509125511506e+20,117.6490222049614,28144897.114541028,45431624.44590622,385684.8890926838,0.3034612286371422,0.002970801980889154,0.4249124614698277,1.4002199337889996
171,2021-04-04,106581784.96472931,20825039.940921105,341105.08684723143,0.0,30643354.415975984,57838719.30884871,27195364.892872747,17066618.96177341,122361877.9578883,4.4972989790667407e+18,4.4988214955012915e+18,3.880039164770808e+16,0.0,17385687.159950435,4.4128173194830525e+18,4.4128173194830525e+18,3.8524790857459814e+20,118.86928113819953,28431360.13488696,45817047.2948374,385422.84893117845,0.30206606279854653,0.0029436660831213633,0.422523427886419,1.3987782141822656
172,2021-04-05,107017192.56271295,20947673.137983784,339581.1660444691,0.0,30980827.973150346,58313978.50152854,27333150.52837822,17066618.96177341,123010016.61758588,4.53920250107265e+18,4.54072432387362e+18,3.886167921075743e+16,0.0,17484615.672155667,4.4212053689066803e+18,4.4212053689066803e+18,3.896691139435048e+20,120.08903035996573,28717592.950710308,46202208.622865975,385161.3280285746,0.3002423018498513,0.0029145223353360277,0.4201605634277723,1.3994049500656012
173,2021-04-06,107452688.96213546,21076098.21503193,334082.9643596173,0.0,31313121.07378828,58783096.00932446,27469974.935536206,17066618.96177341,123658155.27728346,4.5730616180526285e+18,4.5746831763062784e+18,3.839704066128485e+16,0.0,17583512.877891183,4.429609362650691e+18,4.429609362650691e+18,3.940987233061555e+20,121.30827126173357,29003596.0695438,46587108.947434984,384900.32456900924,0.29895541559733857,0.00289092685553532,0.41782643687563825,1.3976212340585474
