stateTime,Regular,Filecoin Plus,Total
"2022-08-24","5.29","149.41","154.70"
"2022-08-25","5.26","150.79","156.05"
"2022-08-26","5.23","151.92","157.15"
"2022-08-27","5.20","153.06","158.26"
"2022-08-28","5.17","154.03","159.20"
"2022-08-29","5.13","155.22","160.35"
"2022-08-30","5.09","156.52","161.61"
"2022-08-31","5.05","157.85","162.90"
"2022-09-01","5.03","159.16","164.19"
"2022-09-02","5.01","160.23","165.24"
"2022-09-03","4.97","161.25","166.22"
"2022-09-04","4.94","162.70","167.64"
"2022-09-05","4.91","163.84","168.75"
"2022-09-06","4.87","164.79","169.66"
"2022-09-07","4.83","166.13","170.96"
"2022-09-08","4.78","167.44","172.22"
"2022-09-09","4.74","168.63","173.37"
"2022-09-10","4.68","169.86","174.54"
"2022-09-11","4.63","171.19","175.82"
"2022-09-12","4.56","172.52","177.08"
"2022-09-13","4.51","173.78","178.29"
"2022-09-14","4.45","175.12","179.57"
"2022-09-15","4.44","176.75","181.19"
"2022-09-16","4.42","178.43","182.85"
"2022-09-17","4.40","180.06","184.46"
"2022-09-18","4.36","181.52","185.88"
"2022-09-19","4.32","183.23","187.55"
"2022-09-20","4.30","185.59","189.89"
"2022-09-21","4.27","187.49","191.76"
"2022-09-22","4.26","189.49","193.75"
"2022-09-23","4.25","191.27","195.52"
"2022-09-24","4.24","192.79","197.03"
"2022-09-25","4.23","194.60","198.83"
"2022-09-26","4.22","196.39","200.61"
"2022-09-27","4.20","198.32","202.52"
"2022-09-28","4.20","200.33","204.53"
"2022-09-29","4.18","202.57","206.75"
"2022-09-30","4.17","204.65","208.82"
"2022-10-01","4.16","206.67","210.83"
"2022-10-02","4.14","208.97","213.11"
"2022-10-03","4.14","211.19","215.33"
"2022-10-04","4.13","213.53","217.66"
"2022-10-05","4.12","216.46","220.58"
"2022-10-06","4.10","219.34","223.44"
"2022-10-07","4.09","222.52","226.61"
"2022-10-08","4.08","225.59","229.67"
"2022-10-09","4.07","228.13","232.20"
"2022-10-10","4.06","230.61","234.67"
"2022-10-11","4.05","233.41","237.46"
"2022-10-12","4.04","236.35","240.39"
"2022-10-13","4.03","238.56","242.59"
"2022-10-14","4.03","240.84","244.87"
"2022-10-15","4.02","243.45","247.47"
"2022-10-16","4.01","246.01","250.02"
"2022-10-17","4.01","248.60","252.61"
"2022-10-18","4.01","251.04","255.05"
"2022-10-19","4.01","253.91","257.92"
"2022-10-20","4.00","256.32","260.32"
"2022-10-21","3.99","258.90","262.89"
"2022-10-22","3.98","261.20","265.18"
"2022-10-23","3.97","262.98","266.95"
"2022-10-24","3.96","265.06","269.02"
"2022-10-25","3.95","266.90","270.85"
"2022-10-26","3.94","268.89","272.83"
"2022-10-27","3.93","271.56","275.49"
"2022-10-28","3.92","274.92","278.84"
"2022-10-29","3.92","278.78","282.70"
"2022-10-30","3.91","282.00","285.91"
"2022-10-31","3.90","285.37","289.27"
"2022-11-01","3.89","288.35","292.24"
"2022-11-02","3.88","290.70","294.58"
"2022-11-03","3.88","293.39","297.27"
"2022-11-04","3.88","295.43","299.31"
"2022-11-05","3.88","296.96","300.84"
"2022-11-06","3.87","298.41","302.28"
"2022-11-07","3.85","299.87","303.72"
"2022-11-08","3.83","301.94","305.77"
"2022-11-09","3.80","304.30","308.10"
"2022-11-10","3.78","307.00","310.78"
"2022-11-11","3.76","309.90","313.66"
"2022-11-12","3.72","313.04","316.76"
"2022-11-13","3.69","315.34","319.03"
"2022-11-14","3.66","317.57","321.23"
"2022-11-15","3.63","320.15","323.78"
"2022-11-16","3.59","323.64","327.23"
"2022-11-17","3.56","326.94","330.50"
"2022-11-18","3.52","330.70","334.22"
"2022-11-19","3.49","334.43","337.92"
"2022-11-20","3.46","338.49","341.95"
