,Unnamed: 0,date,index,Unnamed: 0.1,cum_sum_baseline,cum_sum_realized,effective_baseline_power,new_baseline_power,total_mined_reward,effective_network_time
0,0,2020-08-24,204009.0,204009.0,1.1529227095292165e+18,9650813840024948.0,1.1529227095292165e+18,1.1530690561032292e+18,2.927143369668359e+21,1.0
1,1,2020-08-25,205528.4227498228,205528.4227498228,3.416694927090813e+18,2.673385700686715e+18,1.1529250754031483e+18,1.1549452069427126e+18,5.000215934018223e+22,2.963501063075833
2,2,2020-08-26,208351.0010619469,208351.0010619469,2.8556986475315098e+19,2.798318231110608e+19,1.152951349583897e+18,1.158434360990475e+18,1.317527185907041e+23,24.768849557522124
3,3,2020-08-27,211169.4054054054,211169.4054054054,8.494168942187328e+19,8.436276533707727e+19,1.153010277376116e+18,1.1619156349384256e+18,2.1519448244100617e+23,73.67211948790896
4,4,2020-08-28,213986.09287486703,213986.09287486703,1.7347834082527134e+20,1.729005627741198e+20,1.153102807249025e+18,1.1654261931251492e+18,2.999508483607017e+23,150.45622119815667
5,5,2020-08-29,216807.0,216807.0,2.9460655142784903e+20,2.940278522347433e+20,1.153229398640896e+18,1.168937309508859e+18,3.8730799891890754e+23,255.49556894718185
6,6,2020-08-30,219629.50106232293,219629.50106232293,4.491274928011561e+20,4.48547607410514e+20,1.153390888858116e+18,1.1724608580752212e+18,4.756291269508181e+23,389.47556657223794
7,7,2020-08-31,222446.8822483102,222446.8822483102,6.377936564888669e+20,6.372175539863475e+20,1.1535880643314547e+18,1.1759937367905536e+18,5.6626838003995445e+23,553.0362860192103
8,8,2020-09-01,225253.0221349518,225253.0221349518,8.618065091639331e+20,8.612290138683939e+20,1.1538221807166968e+18,1.1795284071835994e+18,6.601485973351205e+23,747.2038557657979
9,9,2020-09-02,1001295.5163584636,1001295.5163584636,1.1208181150771368e+21,1.120241600304032e+21,1.1540928743853327e+18,1.1830907838021586e+18,7.516212114812471e+23,971.6582503556187
10,10,2020-09-03,228065.0,228065.0,1.405622130148613e+21,1.4050470257276847e+21,1.154390523764441e+18,1.1866588020864364e+18,8.414302177558201e+23,1218.4033345157857
11,11,2020-09-04,230877.9231043076,230877.9231043076,1.7169694621726545e+21,1.7163915701444802e+21,1.1547159136296113e+18,1.190237007190707e+18,9.346823778249636e+23,1488.0715557137771
12,12,2020-09-05,233688.07363927428,233688.07363927428,2.063948310891069e+21,2.063366683751488e+21,1.1550785420808248e+18,1.1938272666076078e+18,1.0329416404710194e+24,1788.5119174670936
13,13,2020-09-06,236511.50881523272,236511.50881523272,2.4505533120452845e+21,2.449976431192183e+21,1.155482583921755e+18,1.197423828980583e+18,1.1362058422256249e+24,2123.1523272214386
14,14,2020-09-07,239338.92621496983,239338.92621496983,2.876986032148841e+21,2.876407261772801e+21,1.1559282498100623e+18,1.2010254296394988e+18,1.2423490201216532e+24,2492.13160695282
15,15,2020-09-08,242145.55941302792,242145.55941302792,3.341737150224974e+21,3.341161116716656e+21,1.1564139623506688e+18,1.2046651884873257e+18,1.3459830296570425e+24,2894.1048675733714
16,16,2020-09-09,244952.00886839305,244952.00886839305,3.810958656735912e+21,3.8103764336369777e+21,1.1569043469052623e+18,1.208283459588474e+18,1.4528592377592142e+24,3299.7747428166017
17,17,2020-09-10,247752.98706431908,247752.98706431908,4.291674999650438e+21,4.29109461781237e+21,1.157406744741753e+18,1.211952824994458e+18,1.5580799973162835e+24,3715.202659001078
18,18,2020-09-11,250553.51242015613,250553.51242015613,4.827861943084873e+21,4.827287483731626e+21,1.1579671150397604e+18,1.2155849821197102e+18,1.6662156206263313e+24,4178.3530872959545
