stateTime,Extend,Expired,Potential Expire,Terminate
"2021-02-24","0.00","4.00","0.00","0.00"
"2021-02-25","0.00","1.00","0.00","0.00"
"2021-02-26","0.00","0.00","0.00","1.00"
"2021-02-27","0.00","1.64","0.00","0.00"
"2021-02-28","0.00","0.71","-0.00","0.75"
"2021-03-02","0.00","0.61","-0.00","0.61"
"2021-03-03","0.00","9.18","0.00","0.57"
"2021-03-04","0.00","2.15","-0.00","2.62"
"2021-03-05","0.00","1.66","-0.00","1.60"
"2021-03-06","0.00","12.73","0.00","0.50"
"2021-03-07","0.00","13.05","-0.00","1.46"
"2021-03-08","0.00","13.33","0.00","2.55"
"2021-03-09","0.00","1.24","0.00","3.70"
"2021-03-10","0.00","5.75","0.00","0.82"
"2021-03-11","0.00","3.05","0.00","1.25"
"2021-03-14","0.00","0.64","0.00","1.91"
"2021-03-15","0.00","0.00","0.00","0.31"
"2021-03-16","0.00","10.00","0.00","18.00"
"2021-03-17","0.00","1.20","0.00","2.61"
"2021-03-18","0.00","0.36","0.00","0.36"
"2021-03-19","0.00","0.36","0.00","2.84"
"2021-03-20","0.00","1.59","0.00","2.91"
"2021-03-21","0.00","8.77","0.00","11.93"
"2021-03-22","0.00","4.89","0.00","10.08"
"2021-03-23","0.00","0.84","0.00","74.50"
"2021-03-24","0.00","17697.79","-0.00","36378.67"
"2021-03-25","0.00","9856.06","0.00","48501.68"
"2021-03-26","0.00","9789.38","-0.00","45379.14"
"2021-03-27","0.00","11176.23","-0.00","42634.25"
"2021-03-28","0.00","1660.26","0.00","19484.94"
"2021-03-29","0.00","469.42","0.00","17754.33"
"2021-03-30","0.00","837.28","-0.00","20750.19"
"2021-03-31","0.00","314.43","0.00","12416.02"
"2021-04-01","0.00","1195.69","-0.00","18424.02"
"2021-04-02","0.00","1667.44","-0.00","9161.81"
"2021-04-03","0.00","2710.15","-0.00","19093.83"
"2021-04-04","0.00","2453.19","-0.00","19853.12"
"2021-04-05","0.00","2107.61","-0.00","19394.85"
"2021-04-06","0.00","1789.86","-0.00","22771.14"
"2021-04-07","0.00","2438.14","-0.00","30353.50"
"2021-04-08","0.00","1430.32","0.00","10067.94"
"2021-04-09","0.00","1176.68","0.00","2760.91"
"2021-04-10","0.00","1342.18","0.00","5607.94"
"2021-04-11","0.00","156.17","0.00","4762.03"
"2021-04-12","0.00","244.11","-0.00","2644.57"
"2021-04-13","6.29","295.01","-0.00","4463.90"
"2021-04-14","2923.60","174.61","-0.00","6904.05"
"2021-04-15","8107.37","179.90","0.00","6298.40"
"2021-04-16","11966.64","196.33","-0.00","2394.18"
"2021-04-17","3649.84","164.14","0.00","352.62"
"2021-04-18","4237.00","483.15","0.00","36.25"
"2021-04-19","4304.69","1377.08","0.00","35.56"
"2021-04-20","6038.51","756.23","0.00","31.67"
"2021-04-21","9616.96","871.96","0.00","158.38"
"2021-04-22","19192.17","374.90","0.00","64.25"
"2021-04-23","22281.83","202.87","-0.00","54.49"
"2021-04-24","21182.87","169.37","-0.00","21.48"
"2021-04-25","20044.35","123.74","0.00","35.91"
"2021-04-26","19053.35","64.33","0.00","15.82"
"2021-04-27","19536.33","70.29","0.00","88.85"
"2021-04-28","23239.04","116.71","-0.00","211.30"
"2021-04-29","27376.59","304.57","0.00","440.56"
"2021-04-30","33337.70","410.34","0.00","517.84"
"2021-05-01","34833.89","352.90","51.24","419.47"
"2021-05-02","34348.93","268.11","0.00","297.45"
"2021-05-03","35711.43","49.82","-0.00","13.14"
"2021-05-04","35934.18","41.11","-0.00","10.78"
"2021-05-05","35561.32","47.41","0.00","108.13"
"2021-05-06","34288.42","239.11","0.00","490.73"
"2021-05-07","37739.77","433.25","0.00","462.93"
"2021-05-08","40023.42","259.81","0.00","77.83"
"2021-05-09","40914.72","58.14","-0.00","21.62"
"2021-05-10","41298.86","53.40","-0.00","119.44"
"2021-05-11","34504.21","200.02","-0.00","376.66"
"2021-05-12","28829.48","194.70","-0.00","317.72"
"2021-05-13","31172.25","166.27","0.00","254.15"
"2021-05-14","24762.39","269.09","0.00","466.50"
"2021-05-15","31309.25","142.25","0.00","305.42"
"2021-05-16","32985.90","88.26","-0.00","157.19"
"2021-05-17","38317.35","174.28","0.00","368.98"
"2021-05-18","29442.31","142.61","-0.00","333.72"
"2021-05-19","40352.13","173.14","-0.00","257.19"
"2021-05-20","42294.36","76.19","0.00","32.02"
"2021-05-21","39580.93","52.03","0.00","29.77"
"2021-05-22","40255.94","31.35","0.00","4.50"
"2021-05-23","40420.76","16.64","-0.00","6.11"
"2021-05-24","39607.51","12.14","-0.00","34.93"
"2021-05-25","35761.25","1.09","-0.00","4.15"
"2021-05-26","41907.53","14.86","-0.00","8.31"
"2021-05-27","32300.24","29.29","0.00","11.83"
"2021-05-28","31790.41","1736.66","0.00","9.75"
"2021-05-29","33259.74","3948.24","0.00","21.98"
"2021-05-30","35502.37","3970.53","0.00","5.55"
"2021-05-31","59117.14","186.67","0.00","4.89"
"2021-06-01","34583.52","35.12","0.00","4.70"
"2021-06-02","26730.95","59.79","0.00","7.87"
"2021-06-03","25687.19","37.58","-0.00","6.83"
"2021-06-04","27055.43","44.25","0.00","4.72"
"2021-06-05","22881.18","31.00","-0.00","2.34"
"2021-06-06","23465.00","145.51","0.00","2.44"
"2021-06-07","26988.40","259.90","0.00","2.12"
"2021-06-08","24854.52","385.30","-0.00","4.79"
"2021-06-09","19242.76","184.06","0.00","8.56"
"2021-06-10","20350.51","188.70","-0.00","7.34"
"2021-06-11","21874.44","313.85","0.00","4.80"
"2021-06-12","17004.75","168.02","-0.00","2.16"
"2021-06-13","14546.30","67.42","0.00","0.22"
"2021-06-14","14344.87","243.99","0.00","2.66"
"2021-06-15","13910.21","174.53","-0.00","3.08"
"2021-06-16","11657.33","15.15","-0.00","0.00"
"2021-06-17","10183.52","47.15","-0.00","0.88"
"2021-06-18","7310.15","41.43","-0.00","1.97"
"2021-06-19","10381.33","24.12","-0.00","0.49"
"2021-06-20","9687.46","47.10","0.00","3.30"
"2021-06-21","6374.48","28.27","-0.00","0.57"
"2021-06-22","11569.39","54.27","-0.00","1.35"
"2021-06-23","11619.13","53.24","0.00","0.88"
"2021-06-24","10771.78","15.79","0.00","2.04"
"2021-06-25","10755.07","83.38","-0.00","2.37"
"2021-06-26","9975.94","246.34","-0.00","0.69"
"2021-06-27","10708.09","129.30","-0.00","0.73"
"2021-06-28","9207.99","163.39","-0.00","0.24"
"2021-06-29","9245.44","178.50","-0.00","0.26"
"2021-06-30","11321.43","190.51","-0.00","0.26"
"2021-07-01","11137.30","212.18","-0.00","1.74"
"2021-07-02","12263.22","196.88","-0.00","4.65"
"2021-07-03","12963.25","204.44","-0.00","14.81"
"2021-07-04","12957.39","211.46","-0.00","27.37"
"2021-07-05","12627.76","114.16","-0.00","27.41"
"2021-07-06","12741.76","33.54","0.00","0.00"
"2021-07-07","13104.80","20.99","0.00","0.24"
"2021-07-08","13179.78","5.22","0.00","0.26"
"2021-07-09","11751.20","2.33","0.00","0.26"
"2021-07-10","8379.60","22020.15","-0.00","0.00"
"2021-07-11","7644.61","0.51","-0.00","0.26"
"2021-07-12","8438.24","1.57","-0.00","0.26"
"2021-07-13","9089.58","0.78","0.00","0.00"
"2021-07-14","10486.35","0.53","0.00","0.24"
"2021-07-15","10010.18","14.57","-0.00","0.00"
"2021-07-16","9798.62","0.00","0.00","0.00"
"2021-07-17","10789.75","0.00","0.00","0.54"
"2021-07-18","9888.09","1.76","-0.00","0.00"
"2021-07-19","8026.76","3.83","-0.00","0.00"
"2021-07-20","10538.56","0.27","0.00","0.00"
"2021-07-21","11922.60","0.00","-0.00","0.27"
"2021-07-22","13716.04","0.54","-0.00","0.27"
"2021-07-23","14143.11","0.00","-0.00","0.25"
"2021-07-24","13194.02","3.29","-0.00","0.25"
"2021-07-25","14949.22","3.16","-0.00","0.30"
"2021-07-26","12304.79","0.56","-0.00","0.00"
"2021-07-27","10264.69","2.91","0.00","0.00"
"2021-07-28","10458.50","3.83","0.00","0.00"
"2021-07-29","8236.24","212.63","-0.00","9.43"
"2021-07-30","11103.31","35.72","0.00","0.00"
"2021-07-31","17519.93","68.95","-0.00","0.45"
"2021-08-01","20121.47","98.22","0.00","0.99"
"2021-08-02","19256.31","46.88","-0.00","2.43"
"2021-08-03","19696.71","15.51","-0.00","0.28"
"2021-08-04","19883.06","97.39","-0.00","0.49"
"2021-08-05","18359.82","99.57","-0.00","0.54"
"2021-08-06","19957.03","56.85","0.00","2.66"
"2021-08-07","19537.57","57.09","-0.00","0.48"
"2021-08-08","20844.81","9.33","-0.00","5.51"
"2021-08-09","20159.15","3.08","0.00","1.21"
"2021-08-10","19982.84","33.72","-0.00","0.28"
"2021-08-11","20755.74","43.30","-0.00","0.96"
"2021-08-12","21642.01","2.83","0.00","4.28"
"2021-08-13","20337.16","0.28","-0.00","4.00"
"2021-08-14","20539.71","9.00","-0.00","2.49"
"2021-08-15","20443.72","2.42","-0.00","0.00"
"2021-08-16","19821.37","9.09","0.00","0.00"
"2021-08-17","17316.32","11.36","0.00","0.00"
"2021-08-18","17954.72","12.55","0.00","0.87"
"2021-08-19","18481.97","31.09","0.00","0.29"
"2021-08-20","35349.50","9.10","0.00","2.00"
"2021-08-21","31644.85","1.52","0.00","11.42"
"2021-08-22","30433.44","1.54","-0.00","13.46"
"2021-08-23","28883.04","11.02","0.00","7.51"
"2021-08-24","28517.07","0.00","-0.00","2.63"
"2021-08-25","28426.97","0.57","-0.00","2.87"
"2021-08-26","29513.59","0.59","0.00","0.99"
"2021-08-27","28782.46","3.53","-0.00","1.06"
"2021-08-28","27861.92","0.88","-0.00","3.77"
"2021-08-29","31024.44","0.89","0.00","2.50"
"2021-08-30","29730.05","0.59","0.00","1.35"
"2021-08-31","28413.83","582.24","0.00","1.70"
"2021-09-01","25339.26","3586.13","0.00","2.19"
"2021-09-02","25426.14","4797.02","-0.00","0.56"
"2021-09-03","21779.41","5932.02","0.00","0.00"
"2021-09-04","22833.36","6901.01","-0.00","3.22"
"2021-09-05","25914.92","6849.99","0.00","0.00"
"2021-09-06","24663.73","6395.30","0.00","0.34"
"2021-09-07","24883.67","5976.65","0.00","0.94"
"2021-09-08","23677.06","5932.29","-0.00","0.26"
"2021-09-09","23736.38","5968.29","0.00","0.29"
"2021-09-10","23013.41","6653.35","-0.00","0.89"
"2021-09-11","23257.84","5935.33","-0.00","0.63"
"2021-09-12","24222.78","6211.40","0.00","1.46"
"2021-09-13","24642.04","6237.83","-0.00","0.31"
"2021-09-14","25295.61","5783.86","-0.00","0.81"
"2021-09-15","26315.75","6112.99","-0.00","0.61"
"2021-09-16","23300.74","6625.46","0.00","4.34"
"2021-09-17","29441.80","6381.79","0.00","0.00"
"2021-09-18","19535.26","6470.73","0.00","5.22"
"2021-09-19","22606.73","6430.91","-0.00","3.11"
"2021-09-20","23886.84","6133.45","0.00","1.61"
"2021-09-21","21759.45","6457.02","-0.00","1.25"
"2021-09-22","25002.08","6437.16","0.00","2.23"
"2021-09-23","26664.48","4245.02","-0.00","6.63"
"2021-09-24","24540.62","3828.71","0.00","3.18"
"2021-09-25","26862.36","4447.79","0.00","5.74"
"2021-09-26","28570.64","5523.86","-0.00","4.19"
"2021-09-27","28290.66","8018.38","-0.00","9.19"
"2021-09-28","27598.86","6256.10","-0.00","5.31"
"2021-09-29","23089.51","958.41","0.00","6.08"
"2021-09-30","20712.09","2203.33","0.00","5.10"
"2021-10-01","19472.77","5165.59","-0.00","6.14"
"2021-10-02","19076.93","5872.54","0.00","52.14"
"2021-10-03","18172.94","5399.38","-0.00","5.77"
"2021-10-04","17257.88","5314.76","-0.00","12.37"
"2021-10-05","18434.48","4734.44","0.00","8.32"
"2021-10-06","16802.00","4515.66","0.00","8.10"
"2021-10-07","18083.53","5345.51","-0.00","6.69"
"2021-10-08","16549.49","6446.24","0.00","17.39"
"2021-10-09","13817.11","6727.11","0.00","8.82"
"2021-10-10","14453.07","6514.92","0.00","4.78"
"2021-10-11","14069.38","6363.82","0.00","31.11"
"2021-10-12","11819.19","6844.84","0.00","2.72"
"2021-10-13","15070.71","7286.44","0.00","2.42"
"2021-10-14","14855.59","7336.66","0.00","6.51"
"2021-10-15","16523.74","14599.77","-0.00","10.36"
"2021-10-16","17583.12","7643.02","-0.00","6.70"
"2021-10-17","18612.82","4942.43","739.35","7.96"
"2021-10-18","22704.15","6223.90","-0.00","12.15"
"2021-10-19","19031.89","5251.60","-0.00","2.73"
"2021-10-20","18677.10","5312.84","0.00","6.14"
"2021-10-21","17322.78","6883.01","-0.00","3.47"
"2021-10-22","18012.14","8826.20","-0.00","2.27"
"2021-10-23","16688.77","8919.39","0.00","13.50"
"2021-10-24","16260.63","9193.43","-0.00","1.05"
"2021-10-25","15867.24","8671.67","35.41","0.19"
"2021-10-26","15769.12","8881.87","844.96","6.28"
"2021-10-27","15823.29","9232.42","-0.00","2.22"
"2021-10-28","14438.99","10162.24","0.00","1.30"
"2021-10-29","13273.23","9014.14","0.00","0.46"
"2021-10-30","11396.35","10754.62","0.00","1.63"
"2021-10-31","14437.98","10193.07","-0.00","3.04"
"2021-11-01","13381.61","9396.68","-0.00","1.77"
"2021-11-02","15261.70","9934.94","0.00","2.78"
"2021-11-03","14552.72","10234.52","-0.00","3.74"
"2021-11-04","14106.85","10466.26","0.00","1.41"
"2021-11-05","13794.28","9802.01","-0.00","3.72"
"2021-11-06","11557.48","8508.88","0.00","4.20"
"2021-11-07","9034.59","10332.85","-0.00","3.87"
"2021-11-08","8555.77","10242.85","-0.00","5.83"
"2021-11-09","8154.24","10483.12","-0.00","3.14"
"2021-11-10","7611.59","11062.73","0.00","5.07"
"2021-11-11","8752.44","15205.85","0.00","2.70"
"2021-11-12","14387.05","13554.31","0.00","4.92"
"2021-11-13","16254.47","13909.21","0.00","1.22"
"2021-11-14","16754.51","10963.33","0.00","1.20"
"2021-11-15","15973.08","14030.52","-0.00","4.76"
"2021-11-16","18321.38","21040.95","-0.00","8.20"
"2021-11-17","17711.97","17437.64","0.00","6.72"
"2021-11-18","17610.25","16513.12","-0.00","0.88"
"2021-11-19","15571.66","18525.53","-0.00","1.19"
"2021-11-20","12794.03","18730.77","-0.00","1.87"
"2021-11-21","11117.43","21490.60","0.00","12.85"
"2021-11-22","10010.65","18368.07","0.00","11.09"
"2021-11-23","10806.94","21003.43","-0.00","3.21"
"2021-11-24","9161.82","19515.45","0.00","3.14"
"2021-11-25","7781.98","19477.92","-0.00","2.81"
"2021-11-26","7165.52","19409.32","0.00","6.96"
"2021-11-27","6185.39","18242.95","0.00","2.15"
"2021-11-28","6352.28","16596.65","-0.00","2.41"
"2021-11-29","8271.13","19200.69","0.00","22.82"
"2021-11-30","11955.47","20885.62","-0.00","15.32"
"2021-12-01","12329.75","20459.20","0.00","32.81"
"2021-12-02","11983.31","16821.61","-0.00","30.35"
"2021-12-03","15311.52","16055.58","0.00","27.42"
"2021-12-04","16967.23","17107.87","0.00","28.13"
"2021-12-05","14332.55","19373.73","0.00","29.33"
"2021-12-06","14759.47","21731.85","-0.00","31.88"
"2021-12-07","17334.32","20119.60","-0.00","26.43"
"2021-12-08","15508.05","19417.10","-0.00","19.09"
"2021-12-09","13098.59","16196.58","-0.00","14.40"
"2021-12-10","12727.45","16771.53","0.00","8.77"
"2021-12-11","10595.88","15850.87","0.00","9.61"
"2021-12-12","16428.99","19685.06","-0.00","83.17"
"2021-12-13","15776.83","21560.64","-0.00","120.89"
"2021-12-14","11135.05","21563.06","-0.00","82.46"
"2021-12-15","10605.29","29146.10","-0.00","0.44"
"2021-12-16","13825.23","21988.89","-0.00","0.92"
"2021-12-17","15390.39","22427.19","-0.00","4.52"
"2021-12-18","15734.23","24956.70","0.00","3.88"
